arc_length,uh_0,uh_1,uh_2
0,0,0,0
2e-05,0.120796,7.55652e-06,0
4e-05,0.24158,1.99013e-05,0
6e-05,0.362354,3.49184e-05,0
8e-05,0.483103,5.59262e-05,0
0.0001,0.603852,7.69341e-05,0
0.00012,0.724526,0.000107366,0
0.00014,0.845201,0.000137799,0
0.00016,0.965846,0.000170372,0
0.00018,1.08636,0.000212225,0
0.0002,1.20687,0.000254078,0
0.00022,1.32739,0.00029593,0
0.00024,1.44766,0.000347905,0
0.00026,1.56786,0.000403253,0
0.00028,1.68806,0.000458601,0
0.0003,1.80825,0.000513949,0
0.00032,1.92804,0.00058007,0
0.00034,2.04765,0.000651088,0
0.00036,2.16725,0.000722106,0
0.00038,2.28686,0.000793124,0
0.0004,2.40646,0.000864142,0
0.00042,2.52502,0.000952947,0
0.00044,2.64358,0.00104175,0
0.00046,2.76215,0.00113056,0
0.00048,2.88071,0.00121936,0
0.0005,2.99927,0.00130816,0
0.00052,3.11662,0.00141037,0
0.00054,3.23342,0.00151866,0
0.00056,3.35021,0.00162695,0
0.00058,3.46701,0.00173524,0
0.0006,3.58381,0.00184354,0
0.00062,3.70061,0.00195183,0
0.00064,3.81526,0.0020753,0
0.00066,3.9292,0.00220384,0
0.00068,4.04314,0.00233238,0
0.0007,4.15708,0.00246092,0
0.00072,4.27102,0.00258946,0
0.00074,4.38496,0.00271799,0
0.00076,4.49808,0.00285018,0
0.00078,4.60761,0.00299815,0
0.0008,4.71715,0.00314613,0
0.00082,4.82669,0.00329411,0
0.00084,4.93623,0.00344208,0
0.00086,5.04577,0.00359006,0
0.00088,5.15531,0.00373804,0
0.0009,5.26485,0.00388601,0
0.00092,5.36798,0.00405046,0
0.00094,5.47111,0.0042149,0
0.00096,5.57424,0.00437935,0
0.00098,5.67738,0.00454379,0
0.001,5.78051,0.00470824,0
0.00102,5.88364,0.00487268,0
0.00104,5.98677,0.00503713,0
0.00106,6.08826,0.00520361,0
0.00108,6.18262,0.00537894,0
0.0011,6.27698,0.00555427,0
0.00112,6.37133,0.0057296,0
0.00114,6.46569,0.00590492,0
0.00116,6.56005,0.00608025,0
0.00118,6.65441,0.00625558,0
0.0012,6.74877,0.00643091,0
0.00122,6.84313,0.00660624,0
0.00124,6.92906,0.00678354,0
0.00126,7.01218,0.0069615,0
0.00128,7.0953,0.00713946,0
0.0013,7.17842,0.00731742,0
0.00132,7.26153,0.00749538,0
0.00134,7.34465,0.00767335,0
0.00136,7.42777,0.00785131,0
0.00138,7.51089,0.00802927,0
0.0014,7.59401,0.00820723,0
0.00142,7.66793,0.00837996,0
0.00144,7.73766,0.00855032,0
0.00146,7.8074,0.00872067,0
0.00148,7.87714,0.00889103,0
0.0015,7.94687,0.00906138,0
0.00152,8.01661,0.00923174,0
0.00154,8.08634,0.00940209,0
0.00156,8.15608,0.00957245,0
0.00158,8.22582,0.0097428,0
0.0016,8.29555,0.00991316,0
0.00162,8.3506,0.0100653,0
0.00164,8.40565,0.0102174,0
0.00166,8.4607,0.0103695,0
0.00168,8.51575,0.0105216,0
0.0017,8.5708,0.0106737,0
0.00172,8.62585,0.0108259,0
0.00174,8.6809,0.010978,0
0.00176,8.73595,0.0111301,0
0.00178,8.791,0.0112822,0
0.0018,8.84605,0.0114343,0
0.00182,8.89099,0.0115679,0
0.00184,8.93134,0.0116931,0
0.00186,8.97168,0.0118182,0
0.00188,9.01203,0.0119434,0
0.0019,9.05238,0.0120685,0
0.00192,9.09272,0.0121937,0
0.00194,9.13307,0.0123189,0
0.00196,9.17341,0.012444,0
0.00198,9.21376,0.0125692,0
0.002,9.25411,0.0126943,0
0.00202,9.29445,0.0128195,0
0.00204,9.32483,0.012921,0
0.00206,9.35189,0.0130146,0
0.00208,9.37895,0.0131082,0
0.0021,9.40601,0.0132018,0
0.00212,9.43307,0.0132954,0
0.00214,9.46013,0.013389,0
0.00216,9.48719,0.0134826,0
0.00218,9.51425,0.0135762,0
0.0022,9.54131,0.0136698,0
0.00222,9.56837,0.0137634,0
0.00224,9.59543,0.013857,0
0.00226,9.62048,0.0139448,0
0.00228,9.63684,0.0140075,0
0.0023,9.65319,0.0140702,0
0.00232,9.66955,0.0141329,0
0.00234,9.6859,0.0141956,0
0.00236,9.70225,0.0142583,0
0.00238,9.71861,0.014321,0
0.0024,9.73496,0.0143837,0
0.00242,9.75132,0.0144464,0
0.00244,9.76767,0.0145091,0
0.00246,9.78402,0.0145718,0
0.00248,9.80038,0.0146345,0
0.0025,9.81673,0.0146972,0
0.00252,9.82549,0.0147342,0
0.00254,9.83425,0.0147711,0
0.00256,9.84301,0.0148081,0
0.00258,9.85177,0.0148451,0
0.0026,9.86054,0.0148821,0
0.00262,9.8693,0.014919,0
0.00264,9.87806,0.014956,0
0.00266,9.88682,0.014993,0
0.00268,9.89558,0.01503,0
0.0027,9.90434,0.0150669,0
0.00272,9.9131,0.0151039,0
0.00274,9.92186,0.0151409,0
0.00276,9.92974,0.0151744,0
0.00278,9.93383,0.0151933,0
0.0028,9.93792,0.0152121,0
0.00282,9.94201,0.0152309,0
0.00284,9.94609,0.0152497,0
0.00286,9.95018,0.0152685,0
0.00288,9.95427,0.0152873,0
0.0029,9.95836,0.0153062,0
0.00292,9.96244,0.015325,0
0.00294,9.96653,0.0153438,0
0.00296,9.97062,0.0153626,0
0.00298,9.9747,0.0153814,0
0.003,9.97879,0.0154002,0
0.00302,9.98288,0.015419,0
0.00304,9.98513,0.0154298,0
0.00306,9.98676,0.0154378,0
0.00308,9.98839,0.0154458,0
0.0031,9.99003,0.0154539,0
0.00312,9.99166,0.0154619,0
0.00314,9.99329,0.01547,0
0.00316,9.99492,0.015478,0
0.00318,9.99656,0.015486,0
0.0032,9.99819,0.0154941,0
0.00322,9.99982,0.0155021,0
0.00324,10.0015,0.0155101,0
0.00326,10.0031,0.0155182,0
0.00328,10.0047,0.0155262,0
0.0033,10.0064,0.0155342,0
0.00332,10.0072,0.0155386,0
0.00334,10.0078,0.0155414,0
0.00336,10.0084,0.0155441,0
0.00338,10.0089,0.0155469,0
0.0034,10.0095,0.0155496,0
0.00342,10.01,0.0155524,0
0.00344,10.0106,0.0155551,0
0.00346,10.0111,0.0155579,0
0.00348,10.0117,0.0155606,0
0.0035,10.0122,0.0155633,0
0.00352,10.0128,0.0155661,0
0.00354,10.0133,0.0155688,0
0.00356,10.0139,0.0155716,0
0.00358,10.0144,0.0155743,0
0.0036,10.015,0.0155771,0
0.00362,10.0152,0.0155777,0
0.00364,10.0153,0.0155784,0
0.00366,10.0155,0.015579,0
0.00368,10.0157,0.0155796,0
0.0037,10.0158,0.0155803,0
0.00372,10.016,0.0155809,0
0.00374,10.0161,0.0155816,0
0.00376,10.0163,0.0155822,0
0.00378,10.0165,0.0155829,0
0.0038,10.0166,0.0155835,0
0.00382,10.0168,0.0155841,0
0.00384,10.017,0.0155848,0
0.00386,10.0171,0.0155854,0
0.00388,10.0173,0.0155861,0
0.0039,10.0175,0.0155867,0
0.00392,10.0175,0.0155869,0
0.00394,10.0176,0.0155869,0
0.00396,10.0176,0.0155869,0
0.00398,10.0177,0.0155869,0
0.004,10.0177,0.0155868,0
0.00402,10.0178,0.0155868,0
0.00404,10.0178,0.0155868,0
0.00406,10.0179,0.0155868,0
0.00408,10.0179,0.0155868,0
0.0041,10.018,0.0155868,0
0.00412,10.018,0.0155867,0
0.00414,10.0181,0.0155867,0
0.00416,10.0181,0.0155867,0
0.00418,10.0182,0.0155867,0
0.0042,10.0182,0.0155867,0
0.00422,10.0183,0.0155867,0
0.00424,10.0183,0.0155865,0
0.00426,10.0183,0.0155863,0
0.00428,10.0183,0.0155862,0
0.0043,10.0184,0.015586,0
0.00432,10.0184,0.0155858,0
0.00434,10.0184,0.0155856,0
0.00436,10.0184,0.0155854,0
0.00438,10.0184,0.0155852,0
0.0044,10.0184,0.0155851,0
0.00442,10.0185,0.0155849,0
0.00444,10.0185,0.0155847,0
0.00446,10.0185,0.0155845,0
0.00448,10.0185,0.0155843,0
0.0045,10.0185,0.0155841,0
0.00452,10.0186,0.015584,0
0.00454,10.0186,0.0155838,0
0.00456,10.0186,0.0155836,0
0.00458,10.0186,0.0155834,0
0.0046,10.0186,0.0155831,0
0.00462,10.0186,0.0155829,0
0.00464,10.0186,0.0155827,0
0.00466,10.0186,0.0155825,0
0.00468,10.0186,0.0155823,0
0.0047,10.0187,0.015582,0
0.00472,10.0187,0.0155818,0
0.00474,10.0187,0.0155816,0
0.00476,10.0187,0.0155814,0
0.00478,10.0187,0.0155811,0
0.0048,10.0187,0.0155809,0
0.00482,10.0187,0.0155807,0
0.00484,10.0187,0.0155805,0
0.00486,10.0187,0.0155802,0
0.00488,10.0187,0.01558,0
0.0049,10.0188,0.0155798,0
0.00492,10.0188,0.0155796,0
0.00494,10.0188,0.0155793,0
0.00496,10.0188,0.0155791,0
0.00498,10.0188,0.0155788,0
0.005,10.0188,0.0155786,0
0.00502,10.0188,0.0155784,0
0.00504,10.0188,0.0155781,0
0.00506,10.0188,0.0155779,0
0.00508,10.0188,0.0155777,0
0.0051,10.0188,0.0155774,0
0.00512,10.0188,0.0155772,0
0.00514,10.0188,0.015577,0
0.00516,10.0188,0.0155767,0
0.00518,10.0188,0.0155765,0
0.0052,10.0188,0.0155762,0
0.00522,10.0188,0.015576,0
0.00524,10.0189,0.0155758,0
0.00526,10.0189,0.0155755,0
0.00528,10.0189,0.0155753,0
0.0053,10.0189,0.015575,0
0.00532,10.0189,0.0155748,0
0.00534,10.0189,0.0155746,0
0.00536,10.0189,0.0155743,0
0.00538,10.0189,0.0155741,0
0.0054,10.0189,0.0155738,0
0.00542,10.0189,0.0155736,0
0.00544,10.0189,0.0155733,0
0.00546,10.0189,0.0155731,0
0.00548,10.0189,0.0155728,0
0.0055,10.0189,0.0155726,0
0.00552,10.0189,0.0155724,0
0.00554,10.0189,0.0155721,0
0.00556,10.0189,0.0155719,0
0.00558,10.0189,0.0155716,0
0.0056,10.0189,0.0155714,0
0.00562,10.0189,0.0155711,0
0.00564,10.0189,0.0155709,0
0.00566,10.0189,0.0155707,0
0.00568,10.0189,0.0155704,0
0.0057,10.0189,0.0155702,0
0.00572,10.0189,0.0155699,0
0.00574,10.0189,0.0155697,0
0.00576,10.0189,0.0155694,0
0.00578,10.019,0.0155692,0
0.0058,10.019,0.0155689,0
0.00582,10.019,0.0155687,0
0.00584,10.019,0.0155684,0
0.00586,10.019,0.0155682,0
0.00588,10.019,0.0155679,0
0.0059,10.019,0.0155677,0
0.00592,10.019,0.0155675,0
0.00594,10.019,0.0155672,0
0.00596,10.019,0.015567,0
0.00598,10.019,0.0155667,0
0.006,10.019,0.0155665,0
0.00602,10.019,0.0155662,0
0.00604,10.019,0.015566,0
0.00606,10.019,0.0155657,0
0.00608,10.019,0.0155655,0
0.0061,10.019,0.0155652,0
0.00612,10.019,0.015565,0
0.00614,10.019,0.0155647,0
0.00616,10.019,0.0155645,0
0.00618,10.019,0.0155642,0
0.0062,10.019,0.015564,0
0.00622,10.019,0.0155637,0
0.00624,10.019,0.0155635,0
0.00626,10.019,0.0155632,0
0.00628,10.019,0.015563,0
0.0063,10.019,0.0155627,0
0.00632,10.019,0.0155625,0
0.00634,10.019,0.0155623,0
0.00636,10.019,0.015562,0
0.00638,10.019,0.0155618,0
0.0064,10.019,0.0155615,0
0.00642,10.019,0.0155613,0
0.00644,10.019,0.015561,0
0.00646,10.019,0.0155608,0
0.00648,10.019,0.0155605,0
0.0065,10.019,0.0155603,0
0.00652,10.019,0.01556,0
0.00654,10.019,0.0155598,0
0.00656,10.019,0.0155595,0
0.00658,10.019,0.0155593,0
0.0066,10.019,0.015559,0
0.00662,10.0191,0.0155588,0
0.00664,10.0191,0.0155585,0
0.00666,10.0191,0.0155583,0
0.00668,10.0191,0.015558,0
0.0067,10.0191,0.0155578,0
0.00672,10.0191,0.0155575,0
0.00674,10.0191,0.0155573,0
0.00676,10.0191,0.015557,0
0.00678,10.0191,0.0155568,0
0.0068,10.0191,0.0155565,0
0.00682,10.0191,0.0155563,0
0.00684,10.0191,0.015556,0
0.00686,10.0191,0.0155558,0
0.00688,10.0191,0.0155555,0
0.0069,10.0191,0.0155553,0
0.00692,10.0191,0.015555,0
0.00694,10.0191,0.0155548,0
0.00696,10.0191,0.0155545,0
0.00698,10.0191,0.0155543,0
0.007,10.0191,0.015554,0
0.00702,10.0191,0.0155538,0
0.00704,10.0191,0.0155535,0
0.00706,10.0191,0.0155533,0
0.00708,10.0191,0.015553,0
0.0071,10.0191,0.0155528,0
0.00712,10.0191,0.0155525,0
0.00714,10.0191,0.0155523,0
0.00716,10.0191,0.0155521,0
0.00718,10.0191,0.0155518,0
0.0072,10.0191,0.0155516,0
0.00722,10.0191,0.0155513,0
0.00724,10.0191,0.0155511,0
0.00726,10.0191,0.0155508,0
0.00728,10.0191,0.0155506,0
0.0073,10.0191,0.0155503,0
0.00732,10.0191,0.0155501,0
0.00734,10.0191,0.0155498,0
0.00736,10.0191,0.0155496,0
0.00738,10.0191,0.0155493,0
0.0074,10.0191,0.0155491,0
0.00742,10.0191,0.0155488,0
0.00744,10.0191,0.0155486,0
0.00746,10.0191,0.0155483,0
0.00748,10.0191,0.0155481,0
0.0075,10.0191,0.0155478,0
0.00752,10.0191,0.0155476,0
0.00754,10.0191,0.0155473,0
0.00756,10.0191,0.0155471,0
0.00758,10.0191,0.0155468,0
0.0076,10.0191,0.0155466,0
0.00762,10.0191,0.0155463,0
0.00764,10.0191,0.0155461,0
0.00766,10.0191,0.0155458,0
0.00768,10.0191,0.0155456,0
0.0077,10.0191,0.0155453,0
0.00772,10.0191,0.0155451,0
0.00774,10.0191,0.0155448,0
0.00776,10.0191,0.0155446,0
0.00778,10.0191,0.0155443,0
0.0078,10.0191,0.0155441,0
0.00782,10.0191,0.0155438,0
0.00784,10.0191,0.0155436,0
0.00786,10.0191,0.0155433,0
0.00788,10.0191,0.0155431,0
0.0079,10.0191,0.0155428,0
0.00792,10.0191,0.0155426,0
0.00794,10.0191,0.0155423,0
0.00796,10.0191,0.0155421,0
0.00798,10.0191,0.0155418,0
0.008,10.0191,0.0155416,0
0.00802,10.0191,0.0155413,0
0.00804,10.0191,0.0155411,0
0.00806,10.0191,0.0155408,0
0.00808,10.0191,0.0155406,0
0.0081,10.0191,0.0155403,0
0.00812,10.0191,0.0155401,0
0.00814,10.0191,0.0155398,0
0.00816,10.0191,0.0155396,0
0.00818,10.0191,0.0155393,0
0.0082,10.0191,0.0155391,0
0.00822,10.0191,0.0155388,0
0.00824,10.0191,0.0155386,0
0.00826,10.0191,0.0155383,0
0.00828,10.0191,0.0155381,0
0.0083,10.0191,0.0155378,0
0.00832,10.0191,0.0155376,0
0.00834,10.0192,0.0155373,0
0.00836,10.0192,0.0155371,0
0.00838,10.0192,0.0155368,0
0.0084,10.0192,0.0155366,0
0.00842,10.0192,0.0155363,0
0.00844,10.0192,0.0155361,0
0.00846,10.0192,0.0155358,0
0.00848,10.0192,0.0155356,0
0.0085,10.0192,0.0155353,0
0.00852,10.0192,0.0155351,0
0.00854,10.0192,0.0155349,0
0.00856,10.0192,0.0155346,0
0.00858,10.0192,0.0155344,0
0.0086,10.0192,0.0155341,0
0.00862,10.0192,0.0155339,0
0.00864,10.0192,0.0155336,0
0.00866,10.0192,0.0155334,0
0.00868,10.0192,0.0155331,0
0.0087,10.0192,0.0155329,0
0.00872,10.0192,0.0155326,0
0.00874,10.0192,0.0155324,0
0.00876,10.0192,0.0155321,0
0.00878,10.0192,0.0155319,0
0.0088,10.0192,0.0155316,0
0.00882,10.0192,0.0155314,0
0.00884,10.0192,0.0155311,0
0.00886,10.0192,0.0155309,0
0.00888,10.0192,0.0155306,0
0.0089,10.0192,0.0155304,0
0.00892,10.0192,0.0155301,0
0.00894,10.0192,0.0155299,0
0.00896,10.0192,0.0155296,0
0.00898,10.0192,0.0155294,0
0.009,10.0192,0.0155291,0
0.00902,10.0192,0.0155289,0
0.00904,10.0192,0.0155286,0
0.00906,10.0192,0.0155284,0
0.00908,10.0192,0.0155281,0
0.0091,10.0192,0.0155279,0
0.00912,10.0192,0.0155276,0
0.00914,10.0192,0.0155274,0
0.00916,10.0192,0.0155271,0
0.00918,10.0192,0.0155269,0
0.0092,10.0192,0.0155266,0
0.00922,10.0192,0.0155264,0
0.00924,10.0192,0.0155261,0
0.00926,10.0192,0.0155259,0
0.00928,10.0192,0.0155256,0
0.0093,10.0192,0.0155254,0
0.00932,10.0192,0.0155252,0
0.00934,10.0192,0.0155249,0
0.00936,10.0192,0.0155247,0
0.00938,10.0192,0.0155244,0
0.0094,10.0192,0.0155242,0
0.00942,10.0192,0.0155239,0
0.00944,10.0192,0.0155237,0
0.00946,10.0192,0.0155234,0
0.00948,10.0192,0.0155232,0
0.0095,10.0192,0.0155229,0
0.00952,10.0192,0.0155227,0
0.00954,10.0192,0.0155224,0
0.00956,10.0192,0.0155222,0
0.00958,10.0192,0.0155219,0
0.0096,10.0192,0.0155217,0
0.00962,10.0192,0.0155214,0
0.00964,10.0192,0.0155212,0
0.00966,10.0192,0.0155209,0
0.00968,10.0192,0.0155207,0
0.0097,10.0192,0.0155204,0
0.00972,10.0192,0.0155202,0
0.00974,10.0192,0.0155199,0
0.00976,10.0192,0.0155197,0
0.00978,10.0192,0.0155194,0
0.0098,10.0192,0.0155192,0
0.00982,10.0192,0.0155189,0
0.00984,10.0192,0.0155187,0
0.00986,10.0192,0.0155185,0
0.00988,10.0192,0.0155182,0
0.0099,10.0192,0.015518,0
0.00992,10.0192,0.0155177,0
